"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.642948120E-1,-1.227028370E-1,4.399345517E-1,9.852738380E0,9.863318508E0
5.668154370E-1,-1.370680481E-1,4.207809567E-1,9.828796387E0,9.838754122E0
5.693360620E-1,-1.131260321E-1,4.159925580E-1,9.804854393E0,9.814327128E0
5.718565830E-1,-1.083376259E-1,4.159925580E-1,9.828796387E0,9.838192174E0
5.743771030E-1,-1.083376259E-1,4.255693555E-1,9.843161583E0,9.852952667E0
5.768971550E-1,-1.179144308E-1,4.207809567E-1,9.838373184E0,9.848073281E0
5.794168430E-1,-1.131260321E-1,4.159925580E-1,9.838373184E0,9.847813677E0
5.819365300E-1,-1.035492271E-1,4.255693555E-1,9.824007988E0,9.833766555E0
5.844562180E-1,-1.083376259E-1,3.920505345E-1,9.828796387E0,9.837208907E0
5.869759050E-1,-7.960720360E-2,4.159925580E-1,9.843161583E0,9.852269640E0
5.894955930E-1,-9.397241473E-2,4.064157307E-1,9.833584785E0,9.842428272E0
5.920152800E-1,-7.481880486E-2,4.064157307E-1,9.819219589E0,9.827911525E0
5.945349680E-1,-6.524199992E-2,3.968389332E-1,9.819219589E0,9.827451908E0
5.970546550E-1,-7.003039867E-2,3.968389332E-1,9.819219589E0,9.827484863E0
5.995743430E-1,-6.524199992E-2,3.920505345E-1,9.804854393E0,9.812906288E0
6.020940830E-1,-4.129998013E-2,3.728969097E-1,9.795277596E0,9.802459945E0
6.046138740E-1,-3.172317147E-2,3.824737072E-1,9.780912399E0,9.788439092E0
6.071337180E-1,-2.693476900E-2,3.872621357E-1,9.756970406E0,9.764689905E0
6.096536660E-1,-2.214636654E-2,3.728969097E-1,9.776124001E0,9.783258304E0
6.121737700E-1,-1.735796221E-2,3.681085110E-1,9.761758804E0,9.768712307E0
6.146940300E-1,-1.735796221E-2,3.824737072E-1,9.752182007E0,9.759694735E0
6.172144990E-1,-1.256955881E-2,3.633201122E-1,9.752182007E0,9.758955548E0
6.197351760E-1,-2.693476900E-2,3.633201122E-1,9.752182007E0,9.758984623E0
6.222560620E-1,-1.735796221E-2,3.681085110E-1,9.737816811E0,9.744787397E0
6.247771550E-1,-7.781155407E-3,3.776853085E-1,9.733028412E0,9.740356708E0
6.272984050E-1,-3.172317147E-2,3.824737072E-1,9.737816811E0,9.745376788E0
6.298198120E-1,-4.129998013E-2,3.872621357E-1,9.752182007E0,9.759955509E0
6.323413220E-1,-4.129998013E-2,3.681085110E-1,9.766547203E0,9.773569145E0
6.348628850E-1,-6.045359373E-2,3.728969097E-1,9.742605209E0,9.749926308E0
6.373844470E-1,-5.566519126E-2,3.824737072E-1,9.733028412E0,9.740699503E0
6.399058530E-1,-3.651157767E-2,3.728969097E-1,9.761758804E0,9.768946727E0
