"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.004676000E0,-1.837778091E-2,-1.779669523E-2,-4.508972168E-3,2.597683627E-2
1.009696521E0,7.040500641E-4,-3.382980824E-3,-9.228706360E-3,9.854403423E-3
1.014717041E0,6.356239319E-4,-1.292926073E-2,3.423690796E-4,1.294940220E-2
1.019737562E0,5.677938461E-4,-8.098959923E-3,1.457977295E-2,1.668787946E-2
1.024758083E0,-4.305362701E-3,-8.068859577E-3,1.919555664E-2,2.126292637E-2
1.029778604E0,-1.383185387E-2,-1.288491488E-2,2.378368378E-2,3.038099450E-2
1.034799125E0,-1.853048801E-2,-3.363788128E-3,1.408576965E-2,2.351814115E-2
1.039819646E0,-1.849019527E-2,-8.213341236E-3,1.871109009E-2,2.755814195E-2
1.044840166E0,6.443262100E-4,-2.252519131E-2,1.381206512E-2,2.643052294E-2
1.049860687E0,-4.226565361E-3,-1.292371750E-2,1.368808746E-2,1.929378312E-2
1.054881208E0,-1.375651360E-2,-1.775670052E-2,4.079818726E-3,2.282952037E-2
1.059901729E0,-4.267454147E-3,-1.305806637E-2,8.791923523E-3,1.631018643E-2
1.064922250E0,-4.302978516E-3,-3.208947182E-2,1.346683502E-2,3.506573072E-2
1.069942771E0,-1.382660866E-2,-2.715110779E-2,3.854751587E-3,3.071183601E-2
1.074963291E0,-9.076952934E-3,-2.230542898E-2,8.565902710E-3,2.555969338E-2
1.079983812E0,-1.392114162E-2,-8.014619350E-3,8.482933044E-3,1.816569461E-2
1.085004333E0,-1.392209530E-2,-8.082628250E-3,-1.090049744E-3,1.613511157E-2
1.090024854E0,-9.114503860E-3,-1.282989979E-2,8.413314819E-3,1.784557019E-2
1.095045375E0,-1.859521866E-2,-8.046388626E-3,8.340835571E-3,2.191109456E-2
1.100065896E0,-4.314541817E-3,-3.268241882E-3,3.511428833E-3,6.451884108E-3
1.105086416E0,-9.095311165E-3,-1.762706041E-2,3.481864929E-3,2.013855326E-2
1.110106937E0,-4.385113716E-3,-2.705472708E-2,2.243804932E-2,3.542108887E-2
1.115127458E0,-9.162425995E-3,-1.741558313E-2,1.275157928E-2,2.344899487E-2
1.120147979E0,-2.344846725E-2,-1.260524988E-2,-1.608848572E-3,2.667042060E-2
1.125168500E0,-1.862430573E-2,-1.258921623E-2,3.144264221E-3,2.269888822E-2
1.130189021E0,-1.378881931E-2,-2.681881189E-2,1.736068726E-2,3.479617323E-2
1.135209541E0,-4.291057587E-3,-1.247894764E-2,1.721000671E-2,2.168690020E-2
