 (0.259144+0.000000j), (1.200512-0.000000j), (-0.567575+0.000000j), (0.761317-0.000000j)
 (0.260395+0.000000j), (0.305319+0.000000j), (0.393514+0.000000j), (0.382346+0.000000j)
 (0.261647+0.000000j), (-0.576620-0.000000j), (1.592995+0.000000j), (0.354443-0.000000j)
 (0.262899+0.000000j), (-0.015233-0.000000j), (0.827614-0.000000j), (-0.014850-0.000000j)
 (0.264151+0.000000j), (-0.065445+0.000000j), (1.085165-0.000000j), (-0.924803-0.000000j)
 (0.265403+0.000000j), (0.141199-0.000000j), (0.557431+0.000000j), (-0.239417+0.000000j)
 (0.266655+0.000000j), (0.401117+0.000000j), (0.241129-0.000000j), (-0.492926+0.000000j)
 (0.267907+0.000000j), (0.051902+0.000000j), (0.398893-0.000000j), (0.080802-0.000000j)
 (0.269159+0.000000j), (-0.454585-0.000000j), (0.747671+0.000000j), (0.264240-0.000000j)
 (0.270411+0.000000j), (-0.117068+0.000000j), (0.365071+0.000000j), (0.536065-0.000000j)
 (0.271663+0.000000j), (0.066597-0.000000j), (0.407446-0.000000j), (1.056211+0.000000j)
 (0.272914+0.000000j), (-0.285972+0.000000j), (-0.052203-0.000000j), (0.710283+0.000000j)
 (0.274166+0.000000j), (-1.225684-0.000000j), (-0.834028+0.000000j), (0.603851+0.000000j)
 (0.275418+0.000000j), (-0.391826-0.000000j), (-0.203254+0.000000j), (0.640751+0.000000j)
 (0.276670+0.000000j), (0.047740+0.000000j), (0.513237-0.000000j), (1.154064-0.000000j)
 (0.277922+0.000000j), (-0.088554-0.000000j), (-0.126457+0.000000j), (0.254434-0.000000j)
 (0.279174+0.000000j), (-0.427579+0.000000j), (-0.688873-0.000000j), (-0.768876+0.000000j)
 (0.280426+0.000000j), (-0.043203+0.000000j), (-0.612148-0.000000j), (-0.701016-0.000000j)
 (0.281678+0.000000j), (0.426161-0.000000j), (-1.094084+0.000000j), (-1.960333+0.000000j)
 (0.282930+0.000000j), (-0.020962+0.000000j), (-0.568885-0.000000j), (-0.832754-0.000000j)
 (0.284182+0.000000j), (-0.807154+0.000000j), (-0.353782+0.000000j), (-0.903450-0.000000j)
 (0.285433+0.000000j), (-0.275613-0.000000j), (-0.037325+0.000000j), (0.269151+0.000000j)
 (0.286685+0.000000j), (0.005608+0.000000j), (0.869852-0.000000j), (2.286777-0.000000j)
 (0.287937+0.000000j), (-0.062592+0.000000j), (0.029573-0.000000j), (0.940129-0.000000j)
 (0.289189+0.000000j), (-0.417326+0.000000j), (-1.197857+0.000000j), (-0.022402+0.000000j)
 (0.290441+0.000000j), (-0.108437+0.000000j), (-0.168383-0.000000j), (-0.144631-0.000000j)
 (0.291693+0.000000j), (-0.068359-0.000000j), (1.609675+0.000000j), (-0.717371-0.000000j)
 (0.292945+0.000000j), (0.152688+0.000000j), (0.344205-0.000000j), (-0.578954+0.000000j)
 (0.294197+0.000000j), (0.254513-0.000000j), (-1.072580+0.000000j), (-1.064976+0.000000j)
 (0.295449+0.000000j), (0.524822-0.000000j), (-0.601418-0.000000j), (-0.750015-0.000000j)
 (0.296701+0.000000j), (1.491862-0.000000j), (-0.349742+0.000000j), (-1.079411-0.000000j)
 (0.297952+0.000000j), (0.464771+0.000000j), (-0.138028-0.000000j), (-0.656639+0.000000j)
 (0.299204+0.000000j), (-1.100082-0.000000j), (0.426442+0.000000j), (-0.761537+0.000000j)
 (0.300456+0.000000j), (-0.576077-0.000000j), (0.044223-0.000000j), (-0.305424+0.000000j)
 (0.301708+0.000000j), (-0.365844-0.000000j), (-0.299857+0.000000j), (-0.075375-0.000000j)
 (0.302960+0.000000j), (-0.298659+0.000000j), (-0.254129-0.000000j), (0.147407-0.000000j)
 (0.304212+0.000000j), (-0.776878-0.000000j), (0.126632+0.000000j), (0.244684+0.000000j)
 (0.305464+0.000000j), (-0.189264+0.000000j), (-0.376029-0.000000j), (0.469975+0.000000j)
 (0.306716+0.000000j), (0.681082+0.000000j), (-1.318632+0.000000j), (1.007125-0.000000j)
 (0.307968+0.000000j), (0.322199-0.000000j), (-0.905090+0.000000j), (0.602465+0.000000j)
 (0.309220+0.000000j), (-0.345456+0.000000j), (-0.254913-0.000000j), (0.008878-0.000000j)
 (0.310471+0.000000j), (-0.232470-0.000000j), (-0.493250+0.000000j), (-0.107522+0.000000j)
 (0.311723+0.000000j), (-0.385544-0.000000j), (-0.921557+0.000000j), (-0.702610-0.000000j)
 (0.312975+0.000000j), (-0.160699+0.000000j), (-0.867825+0.000000j), (-0.483906+0.000000j)
 (0.314227+0.000000j), (-0.045829+0.000000j), (-0.971362-0.000000j), (-0.745451+0.000000j)
 (0.315479+0.000000j), (0.036634-0.000000j), (-0.730695+0.000000j), (-0.386936-0.000000j)
 (0.316731+0.000000j), (-0.037037+0.000000j), (-0.289350+0.000000j), (-0.489349+0.000000j)
 (0.317983+0.000000j), (0.039012-0.000000j), (-0.386274-0.000000j), (0.146837-0.000000j)
 (0.319235+0.000000j), (-0.045516-0.000000j), (-0.624551+0.000000j), (1.212539+0.000000j)
 (0.320487+0.000000j), (0.086538+0.000000j), (-0.473690-0.000000j), (1.021016+0.000000j)
 (0.321739+0.000000j), (0.336575-0.000000j), (0.061312+0.000000j), (0.683661+0.000000j)
 (0.322990+0.000000j), (0.052287+0.000000j), (-0.277245+0.000000j), (0.347810-0.000000j)
 (0.324242+0.000000j), (-0.981355+0.000000j), (-1.297687-0.000000j), (-0.669723-0.000000j)
 (0.325494+0.000000j), (-0.650347+0.000000j), (-0.712812+0.000000j), (-0.368577+0.000000j)
 (0.326746+0.000000j), (-0.482051-0.000000j), (0.927199+0.000000j), (-0.127222+0.000000j)
 (0.327998+0.000000j), (0.091097-0.000000j), (0.565750-0.000000j), (0.191360-0.000000j)
 (0.329250+0.000000j), (1.158616+0.000000j), (-0.185941+0.000000j), (0.558938-0.000000j)
 (0.330502+0.000000j), (1.064540+0.000000j), (-0.402867-0.000000j), (0.554861+0.000000j)
 (0.331754+0.000000j), (0.669642-0.000000j), (-0.562311+0.000000j), (0.324243-0.000000j)
 (0.333006+0.000000j), (0.476451-0.000000j), (-0.668935+0.000000j), (0.195811+0.000000j)
 (0.334258+0.000000j), (0.029154+0.000000j), (-0.916356+0.000000j), (-0.278978+0.000000j)
 (0.335509+0.000000j), (-0.031365-0.000000j), (-0.788574-0.000000j), (-0.406823-0.000000j)
 (0.336761+0.000000j), (-0.332063+0.000000j), (-0.316794-0.000000j), (-1.303210+0.000000j)
 (0.338013+0.000000j), (-0.207325-0.000000j), (-0.409675+0.000000j), (-0.816079-0.000000j)
 (0.339265+0.000000j), (-0.048863+0.000000j), (-0.914025+0.000000j), (0.086088-0.000000j)
 (0.340517+0.000000j), (-0.016282+0.000000j), (-0.655642-0.000000j), (0.513792+0.000000j)
 (0.341769+0.000000j), (-0.321041-0.000000j), (0.579851+0.000000j), (1.192613-0.000000j)
 (0.343021+0.000000j), (-0.254223-0.000000j), (0.251640+0.000000j), (0.790839-0.000000j)
 (0.344273+0.000000j), (-0.371326+0.000000j), (-1.014488-0.000000j), (-1.431821-0.000000j)
