"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.220099580E-1,-2.642313018E-2,2.241587639E-2,1.241779327E-2,3.680835385E-2
9.270308950E-1,-4.537566751E-2,3.080332279E-2,2.188873291E-2,5.905008489E-2
9.320517810E-1,-4.041910172E-2,5.341780186E-2,1.703166962E-2,6.911760346E-2
9.370726660E-1,-1.181305200E-2,6.164997816E-2,2.713203430E-3,6.283016376E-2
9.420935510E-1,-1.188466698E-2,7.941401005E-2,1.224803925E-2,8.122711842E-2
9.471144370E-1,-7.198475301E-3,9.702962637E-2,1.695537567E-2,9.876260023E-2
9.521353220E-1,6.885260344E-3,9.560823441E-2,-2.127647400E-3,9.587944607E-2
9.571562080E-1,1.135027036E-2,9.905081987E-2,-1.156330109E-2,1.003673427E-1
9.621770930E-1,3.007528186E-2,1.168136001E-1,-2.567768097E-2,1.233259220E-1
9.671979780E-1,4.400356486E-2,1.203378439E-1,-3.493881226E-2,1.328090019E-1
9.722188640E-1,4.352296889E-2,1.144389510E-1,-2.988624573E-2,1.260305916E-1
9.772397490E-1,3.835399821E-2,1.276863813E-1,-2.013683319E-2,1.348344660E-1
9.822606350E-1,2.841910347E-2,1.266817451E-1,-4.371643066E-2,1.369928330E-1
9.872815200E-1,1.867043227E-2,1.258405447E-1,-4.811859131E-2,1.360140675E-1
9.923024060E-1,1.380760968E-2,1.346065402E-1,-3.349971771E-2,1.393979980E-1
9.973232910E-1,8.881907910E-3,1.292091012E-1,-2.851200104E-2,1.326152869E-1
1.002344176E0,1.354156062E-2,1.144632101E-1,-1.882648468E-2,1.167888559E-1
1.007365062E0,-7.755085826E-4,1.142406464E-1,5.010604858E-3,1.143531060E-1
1.012385947E0,3.964614123E-3,1.188203096E-1,-4.595756531E-3,1.189752290E-1
1.017406833E0,-5.580265075E-3,1.092197299E-1,1.153945923E-4,1.093622516E-1
1.022427718E0,-1.029709354E-2,9.980255365E-2,3.051757812E-5,1.003323516E-1
1.027448603E0,-1.967142895E-2,7.626998425E-2,4.690170288E-3,7.890547073E-2
1.032469489E0,-9.969219565E-3,5.298513174E-2,-4.939079285E-3,5.414059501E-2
1.037490374E0,4.348926246E-3,3.949475288E-2,-2.517700195E-4,3.973426799E-2
1.042511260E0,-4.550665617E-4,4.505944252E-2,-3.471374512E-4,4.506307746E-2
1.047532145E0,-1.461262628E-2,2.219021320E-2,9.045600891E-3,2.806701453E-2
1.052553031E0,-9.701121598E-3,8.956491947E-3,-6.284713745E-4,1.321837677E-2
1.057573916E0,-4.886653274E-3,-8.863508701E-3,-1.022624969E-2,1.438809750E-2
1.062594801E0,-4.813484848E-3,-1.228928566E-2,-1.499557495E-2,1.997657244E-2
1.067615687E0,-4.792634398E-3,-2.043503523E-2,-1.972484589E-2,2.880329069E-2
1.072636572E0,-1.421287283E-2,-3.806191683E-2,-5.415916443E-3,4.098838150E-2
1.077657458E0,-1.405326650E-2,-3.649634123E-2,-5.476951599E-3,3.949017879E-2
1.082678343E0,3.504902124E-4,-3.974401951E-2,-7.839202881E-4,3.975329497E-2
1.087699281E0,4.360564053E-4,-2.871888876E-2,3.870010376E-3,2.898174765E-2
1.092720218E0,-8.967425674E-3,-4.632866383E-2,8.489608765E-3,4.794614971E-2
1.097741156E0,-8.799895644E-3,-4.004907608E-2,1.307106018E-2,4.303741712E-2
1.102762093E0,-1.813077554E-2,-4.326707125E-2,1.286220551E-2,4.864361013E-2
1.107783031E0,-1.789122447E-2,-5.130988359E-2,3.165721893E-2,6.288862837E-2
1.112803968E0,-1.770969108E-2,-5.933713913E-2,2.180957794E-2,6.565201389E-2
1.117824906E0,-1.272515208E-2,-6.729763746E-2,1.204395294E-2,6.954105482E-2
1.122845843E0,-1.257809252E-2,-7.524377108E-2,1.661014557E-2,7.807515887E-2
1.127866781E0,-1.243227720E-2,-7.372999191E-2,1.639842987E-2,7.654790478E-2
1.132887718E0,-1.229623705E-2,-7.222849131E-2,6.690979004E-3,7.357256012E-2
1.137908656E0,-1.690557599E-2,-7.559162378E-2,1.822471619E-3,7.748040713E-2
1.142929593E0,-1.197949052E-2,-8.367520571E-2,6.491661072E-3,8.477729594E-2
1.147950531E0,-2.345986664E-3,-9.169143438E-2,1.625061035E-3,9.173583605E-2
1.152971468E0,-1.173079014E-2,-9.509932995E-2,1.564025879E-3,9.583287625E-2
1.157992406E0,-1.164384559E-2,-1.032273173E-1,-1.274204254E-2,1.046604884E-1
1.163013343E0,2.739574760E-3,-1.160877943E-1,-1.742649078E-2,1.174204575E-1
1.168034281E0,7.501896471E-3,-1.194474697E-1,-1.256656647E-2,1.203407457E-1
1.173055218E0,2.675812691E-3,-1.134371758E-1,-1.723194122E-2,1.147697374E-1
1.178076156E0,-2.110071480E-3,-9.328323603E-2,1.888275146E-3,9.332620269E-2
1.183097093E0,-6.804350764E-3,-9.234297276E-2,2.560138702E-2,9.606744935E-2
1.188118031E0,-1.625974104E-2,-9.621077776E-2,3.487682343E-2,1.036208751E-1
1.193138968E0,2.807144076E-3,-1.049501896E-1,4.408740997E-2,1.138688810E-1
1.198159906E0,-6.672449410E-3,-1.374109983E-1,4.847621918E-2,1.458637990E-1
1.203180843E0,-1.835916191E-3,-1.507620811E-1,3.384685516E-2,1.545256785E-1
1.208201781E0,-1.138444245E-2,-1.451115608E-1,5.102157593E-3,1.456468421E-1
1.213222718E0,-1.610492542E-2,-1.253660917E-1,2.883911133E-2,1.296445908E-1
1.218243656E0,-2.554289252E-2,-8.684253693E-2,3.338909149E-2,9.648262542E-2
1.223264593E0,-2.070845291E-2,-7.738965750E-2,5.216693878E-2,9.560014964E-2
1.228285531E0,-3.015564010E-2,-7.756453753E-2,3.280448914E-2,8.945252718E-2
1.233306468E0,-2.522685379E-2,-7.778966427E-2,3.734970093E-2,8.990342696E-2
1.238327406E0,-2.038254961E-2,-8.751022816E-2,4.660606384E-2,1.012206182E-1
1.243348343E0,-1.082593203E-2,-7.820779085E-2,2.729797363E-2,8.353944409E-2
1.248369281E0,-6.109979004E-3,-5.953711271E-2,1.290416718E-2,6.122513507E-2
1.253390218E0,-1.480884850E-3,-2.682840824E-2,3.382682800E-3,2.708134139E-2
1.258411156E0,-1.638855785E-3,-1.348972321E-2,-1.079940796E-2,1.735758315E-2
1.263432093E0,-1.129249483E-2,-1.587867737E-4,-1.537513733E-2,1.907722466E-2
1.268453031E0,-1.601373032E-2,8.312702179E-3,-9.183883667E-4,1.806610122E-2
1.273473968E0,-6.613686681E-3,7.268607616E-3,-8.316040039E-4,9.862305684E-3
1.278494906E0,-1.984559000E-3,1.567834616E-2,4.008293152E-3,1.630384699E-2
1.283515843E0,-6.835058331E-3,1.926928759E-2,-5.437850952E-3,2.115641013E-2
1.288536781E0,7.297139615E-3,3.232729435E-2,-2.905082703E-2,4.407099678E-2
1.293557718E0,-2.383418381E-3,4.538017511E-2,-1.923561096E-2,4.934622281E-2
1.298578656E0,2.262216061E-3,5.357587337E-2,-9.502410889E-3,5.445904555E-2
1.303599593E0,-1.685643569E-2,4.761219025E-2,1.438236237E-2,5.251583029E-2
1.308620531E0,-7.341697812E-3,5.589270592E-2,9.581565857E-3,5.718130381E-2
1.313641468E0,2.110753208E-3,4.985803366E-2,9.570121765E-3,5.081206579E-2
1.318662406E0,6.774902344E-3,3.922909498E-2,-9.444236755E-3,4.091472599E-2
1.323683343E0,1.851480454E-3,3.823751211E-2,-4.562377930E-3,3.855321783E-2
1.328704281E0,-7.731962949E-3,5.624842644E-2,-9.218215942E-3,5.752081565E-2
1.333725218E0,1.120800897E-2,5.516672134E-2,-4.342079163E-3,5.646096227E-2
1.338746156E0,6.359666586E-3,6.364238262E-2,-9.008407593E-3,6.459063115E-2
1.343767093E0,1.103588939E-2,6.729948521E-2,-8.887290955E-3,6.877496277E-2
1.348788031E0,1.082978025E-2,6.638419628E-2,5.462646484E-3,6.748322875E-2
1.353808968E0,1.227557659E-3,6.077992916E-2,5.442619324E-3,6.103547159E-2
1.358829906E0,-8.294656873E-3,5.057728291E-2,6.656646729E-4,5.125725303E-2
1.363850843E0,-8.300833404E-3,4.515677691E-2,-4.067420959E-3,4.609319092E-2
1.368871781E0,1.250371337E-3,5.882686377E-2,-1.826190948E-2,6.160893334E-2
1.373892718E0,5.921758711E-3,6.293773651E-2,-3.851890564E-3,6.333295323E-2
1.378913656E0,-1.313224062E-2,5.762052536E-2,-3.815650940E-3,5.922111008E-2
1.383934593E0,-3.489054739E-3,5.714809895E-2,-2.277851105E-2,6.161930932E-2
1.388955531E0,1.377016306E-3,4.728603363E-2,-2.734661102E-2,5.464158018E-2
1.393976468E0,6.155118346E-3,3.750592470E-2,-2.237987518E-2,4.410712735E-2
1.398997406E0,1.288659871E-3,3.735625744E-2,-2.220630646E-2,4.347724302E-2
1.404018343E0,-3.481224179E-3,4.675644636E-2,-2.203941345E-2,5.180752786E-2
1.409039281E0,-1.290811598E-2,3.708422184E-2,-2.880096436E-3,3.937199415E-2
1.414060218E0,-1.285857335E-2,4.184132814E-2,-1.237964630E-2,4.548950749E-2
1.419081156E0,-1.745884493E-2,3.706204891E-2,-2.805709839E-3,4.106432446E-2
1.424102093E0,-1.257979497E-2,3.707128763E-2,1.618480682E-2,4.236129814E-2
1.429123031E0,-3.036003560E-3,3.718352318E-2,2.076339722E-2,4.269602297E-2
1.434143968E0,-7.821548730E-3,2.779799700E-2,1.580715179E-2,3.292068209E-2
1.439164906E0,-7.762685418E-3,1.379370689E-2,1.563549042E-2,2.224846501E-2
