 (0.319706+0.000000j)  (-17.441676-154.334506j)  (-224.169160-38.754021j)  (1.470628+4.668177j)
 (0.320960+0.000000j)  (14.203769-102.818733j)  (-56.963066-31.886984j)  (-25.037243-7.325966j)
 (0.322214+0.000000j)  (52.713970-270.278086j)  (-105.400457-55.642793j)  (33.529397-47.658650j)
 (0.323467+0.000000j)  (413.050008-87.251207j)  (27.324064-136.216444j)  (51.386297+39.250724j)
 (0.324721+0.000000j)  (156.467342+301.399376j)  (67.930933+15.298904j)  (-44.850673-11.062094j)
 (0.325975+0.000000j)  (-47.087264+65.537760j)  (-47.678639-53.533671j)  (91.900169-70.380388j)
 (0.327229+0.000000j)  (91.510674+156.792908j)  (159.214964-138.594534j)  (82.910681+128.283809j)
 (0.328482+0.000000j)  (-226.192733+170.605205j)  (233.568549+179.917663j)  (-142.441964+48.500128j)
 (0.329736+0.000000j)  (-103.128791-163.833749j)  (-129.369371+240.478378j)  (0.246674-165.384425j)
 (0.330990+0.000000j)  (44.221245+81.251051j)  (-148.907276-116.258110j)  (177.899686-3.994950j)
 (0.332244+0.000000j)  (-289.880636-29.106688j)  (192.527853-80.785351j)  (37.607775+136.966246j)
 (0.333497+0.000000j)  (8.561059-378.633250j)  (130.348089+256.411577j)  (-65.701362+20.219937j)
 (0.334751+0.000000j)  (285.047850-56.076854j)  (-186.994439+238.455494j)  (50.201903-56.103280j)
