"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.934984470E-1,1.023521200E-1,3.728969097E-1,9.819219589E0,9.826830690E0
4.960182380E-1,9.277531505E-2,3.681085110E-1,9.785700798E0,9.793061383E0
4.985380300E-1,9.277531505E-2,3.633201122E-1,9.790489197E0,9.797667451E0
5.010578220E-1,8.319851011E-2,3.633201122E-1,9.790489197E0,9.797581447E0
5.035776650E-1,9.277531505E-2,3.633201122E-1,9.785700798E0,9.792882562E0
5.060975090E-1,9.277531505E-2,3.441664875E-1,9.790489197E0,9.796975888E0
5.086174050E-1,9.756372124E-2,3.441664875E-1,9.780912399E0,9.787451998E0
5.111373010E-1,9.756372124E-2,3.345896900E-1,9.776124001E0,9.782334559E0
5.136571970E-1,1.023521200E-1,3.393780887E-1,9.785700798E0,9.792118951E0
5.161770920E-1,1.023521200E-1,3.298012912E-1,9.790489197E0,9.796577135E0
5.186969880E-1,9.756372124E-2,3.393780887E-1,9.771335602E0,9.777714232E0
5.212168840E-1,9.277531505E-2,3.250128925E-1,9.742605209E0,9.748466387E0
5.237367800E-1,7.362170517E-2,3.345896900E-1,9.752182007E0,9.758197800E0
5.262566760E-1,6.404489279E-2,3.202244639E-1,9.785700798E0,9.791148327E0
5.287766240E-1,6.404489279E-2,3.298012912E-1,9.785700798E0,9.791466221E0
5.312966240E-1,6.404489279E-2,3.298012912E-1,9.795277596E0,9.801037385E0
5.338166760E-1,7.362170517E-2,3.250128925E-1,9.790489197E0,9.796159056E0
5.363367800E-1,9.277531505E-2,3.250128925E-1,9.795277596E0,9.801107275E0
5.388569360E-1,7.362170517E-2,3.345896900E-1,9.795277596E0,9.801266938E0
5.413770920E-1,9.277531505E-2,3.393780887E-1,9.776124001E0,9.782452925E0
5.438972490E-1,8.319851011E-2,3.393780887E-1,9.771335602E0,9.777581445E0
5.464174050E-1,8.798690885E-2,3.489548862E-1,9.771335602E0,9.777960455E0
5.489375610E-1,8.319851011E-2,3.537433147E-1,9.780912399E0,9.787660787E0
5.514577170E-1,8.798690885E-2,3.537433147E-1,9.776124001E0,9.782917586E0
5.539778740E-1,9.756372124E-2,3.633201122E-1,9.776124001E0,9.783359375E0
5.564980300E-1,8.798690885E-2,3.489548862E-1,9.785700798E0,9.792315932E0
5.590181860E-1,1.023521200E-1,3.489548862E-1,9.795277596E0,9.802025742E0
5.615383420E-1,1.023521200E-1,3.537433147E-1,9.771335602E0,9.778272329E0
5.640584990E-1,1.023521200E-1,3.728969097E-1,9.776124001E0,9.783768626E0
5.665787070E-1,1.167173311E-1,3.728969097E-1,9.766547203E0,9.774360302E0
5.690989150E-1,1.167173311E-1,3.728969097E-1,9.795277596E0,9.803067796E0
5.716191240E-1,1.262941360E-1,3.776853085E-1,9.800065994E0,9.808154255E0
5.741393320E-1,1.119289324E-1,3.920505345E-1,9.804854393E0,9.813327742E0
5.766595400E-1,1.071405262E-1,3.824737072E-1,9.804854393E0,9.812896356E0
5.791797490E-1,1.071405262E-1,3.968389332E-1,9.804854393E0,9.813466763E0
5.816998010E-1,1.262941360E-1,3.920505345E-1,9.809642792E0,9.818286283E0
5.842197490E-1,1.119289324E-1,3.968389332E-1,9.790489197E0,9.799167717E0
5.867396970E-1,1.215057373E-1,4.016273320E-1,9.776124001E0,9.785124865E0
5.892595920E-1,1.262941360E-1,4.112041295E-1,9.780912399E0,9.790367021E0
5.917794880E-1,1.167173311E-1,4.112041295E-1,9.771335602E0,9.780680509E0
5.942993840E-1,1.167173311E-1,4.207809567E-1,9.756970406E0,9.766736970E0
5.968192800E-1,1.023521200E-1,4.255693555E-1,9.771335602E0,9.781134120E0
5.993391760E-1,1.023521200E-1,4.351461530E-1,9.795277596E0,9.805472518E0
6.018590200E-1,1.071405262E-1,4.207809567E-1,9.771335602E0,9.780978231E0
6.043785510E-1,1.167173311E-1,4.159925580E-1,9.761758804E0,9.771315556E0
6.068980820E-1,1.071405262E-1,4.255693555E-1,9.771335602E0,9.781185399E0
6.094176130E-1,9.277531505E-2,4.399345517E-1,9.780912399E0,9.791240832E0
