"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.204346880E-1,1.262941360E-1,2.627636492E-1,9.800065994E0,9.804401483E0
7.229544270E-1,1.167173311E-1,2.483984232E-1,9.795277596E0,9.799121792E0
7.254742190E-1,1.071405262E-1,2.531868219E-1,9.809642792E0,9.813494503E0
7.279940630E-1,1.215057373E-1,2.388216257E-1,9.790489197E0,9.794155304E0
7.305139590E-1,1.167173311E-1,2.292448133E-1,9.776124001E0,9.779507993E0
7.330339070E-1,1.071405262E-1,2.388216257E-1,9.780912399E0,9.784414250E0
7.355538550E-1,1.167173311E-1,2.388216257E-1,9.776124001E0,9.779737173E0
7.380738550E-1,1.167173311E-1,2.053027898E-1,9.780912399E0,9.783763056E0
7.405938550E-1,1.167173311E-1,2.196680009E-1,9.790489197E0,9.793648742E0
7.431138550E-1,1.262941360E-1,2.196680009E-1,9.785700798E0,9.788980761E0
7.456338550E-1,1.262941360E-1,2.148796022E-1,9.771335602E0,9.774513947E0
7.481538550E-1,1.119289324E-1,2.148796022E-1,9.766547203E0,9.769551965E0
7.506738550E-1,1.262941360E-1,2.100912035E-1,9.756970406E0,9.760049181E0
7.531938550E-1,1.215057373E-1,2.148796022E-1,9.752182007E0,9.755305776E0
7.557138550E-1,1.167173311E-1,2.148796022E-1,9.766547203E0,9.769607999E0
7.582338550E-1,1.167173311E-1,2.196680009E-1,9.761758804E0,9.764927645E0
7.607538550E-1,1.406593472E-1,2.053027898E-1,9.756970406E0,9.760143738E0
7.632738550E-1,1.358709484E-1,2.148796022E-1,9.766547203E0,9.769855599E0
7.657938550E-1,1.310825497E-1,2.100912035E-1,9.756970406E0,9.760112317E0
7.683138550E-1,1.262941360E-1,2.100912035E-1,9.776124001E0,9.779196746E0
7.708338550E-1,1.454477459E-1,2.148796022E-1,9.800065994E0,9.803500486E0
7.733539070E-1,1.502361596E-1,2.100912035E-1,9.790489197E0,9.793895442E0
7.758740110E-1,1.502361596E-1,2.100912035E-1,9.780912399E0,9.784321979E0
7.783941670E-1,1.502361596E-1,2.148796022E-1,9.795277596E0,9.798786013E0
7.809143750E-1,1.550245583E-1,2.005143911E-1,9.785700798E0,9.788982518E0
7.834346360E-1,1.550245583E-1,2.005143911E-1,9.790489197E0,9.793769313E0
7.859549480E-1,1.550245583E-1,1.957259923E-1,9.780912399E0,9.784098765E0
7.884752610E-1,1.646013707E-1,1.909375787E-1,9.790489197E0,9.793734195E0
7.909955730E-1,1.693897694E-1,2.005143911E-1,9.790489197E0,9.794007230E0
7.935158860E-1,1.693897694E-1,2.100912035E-1,9.809642792E0,9.813354315E0
7.960361980E-1,1.646013707E-1,2.005143911E-1,9.804854393E0,9.808285747E0
